DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
5103,9;4839,8;;0,5156;0,5637;;
;;15,3;;;0,0015;10233
5119,2;4855,5;;0,5172;0,5652;;
;;15,3;;;0,0015;10232
5134,5;4871,2;;0,5187;0,5667;;
;;15,3;;;0,0015;10322
5149,7;4886,9;;0,5202;0,5681;;
;;15,3;;;0,0015;10496
5165;4902,6;;0,5217;0,5696;;
;;15,3;;;0,0014;10709
5180,3;4918,3;;0,5231;0,571;;
;;15,3;;;0,0014;10944
5195,6;4934;;0,5246;0,5724;;
;;15,3;;;0,0014;11096
5210,9;4949,7;;0,526;0,5738;;
;;15,3;;;0,0014;11154
5226,2;4965,4;;0,5274;0,5752;;
;;15,3;;;0,0014;11164
5241,5;4981,1;;0,5288;0,5765;;
;;15,3;;;0,0014;11199
5256,8;4996,8;;0,5302;0,5779;;
;;15,3;;;0,0014;11272
5272,1;5012,5;;0,5316;0,5793;;
;;15,3;;;0,0014;11324
5287,5;5028,2;;0,533;0,5806;;
;;15,3;;;0,0014;11307
5302,8;5043,9;;0,5343;0,582;;
;;15,3;;;0,0014;11219
5318,1;5059,6;;0,5357;0,5833;;
;;15,3;;;0,0014;11170
5333,4;5075,3;;0,5371;0,5847;;
;;15,3;;;0,0014;11169
5348,8;5091;;0,5385;0,5861;;
;;15,3;;;0,0014;11215
5364,1;5106,7;;0,5399;0,5875;;
;;15,3;;;0,0014;11266
5379,5;5122,4;;0,5413;0,5888;;
;;15,3;;;0,0014;11285
5394,8;5138,1;;0,5427;0,5902;;
;;15,4;;;0,0014;11341
5410,2;5153,8;;0,5441;0,5915;;
;;15,4;;;0,0013;11422
5425,5;5169,5;;0,5455;0,5929;;
;;15,4;;;0,0013;11574
5440,9;5185,2;;0,5468;0,5942;;
;;15,4;;;0,0013;11690
5456,2;5201;;0,5482;0,5955;;
;;15,4;;;0,0013;11646
5471,6;5216,6;;0,5495;0,5968;;
;;15,4;;;0,0013;11395
5487;5232,4;;0,5509;0,5982;;
;;15,4;;;0,0014;10973
5502,3;5248;;0,5523;0,5996;;
;;15,4;;;0,0015;10525
5517,7;5263,8;;0,5538;0,601;;
;;15,4;;;0,0015;10174
5533,1;5279,5;;0,5554;0,6026;;
;;15,4;;;0,0015;9977
5548,4;5295,2;;0,5569;0,6041;;
;;15,4;;;0,0015;9927
5563,8;5310,9;;0,5585;0,6056;;
;;15,4;;;0,0015;9952
5579,2;5326,6;;0,5601;0,6072;;
;;15,4;;;0,0015;9948
5594,6;5342,3;;0,5616;0,6087;;
;;15,4;;;0,0016;9917
5609,9;5358;;0,5632;0,6103;;
;;15,4;;;0,0016;9895
5625,3;5373,7;;0,5648;0,6118;;
;;15,4;;;0,0016;9916
5640,7;5389,4;;0,5664;0,6134;;
;;15,4;;;0,0015;10019
5656,1;5405,1;;0,568;0,6149;;
;;15,4;;;0,0015;10229
5671,4;5420,8;;0,5695;0,6164;;
;;15,4;;;0,0015;10476
5686,8;5436,5;;0,571;0,6179;;
;;15,4;;;0,0014;10727
5702,2;5452,2;;0,5724;0,6193;;
;;15,4;;;0,0014;10930
5717,6;5467,9;;0,5739;0,6207;;
;;15,4;;;0,0014;11000
5733;5483,6;;0,5753;0,6221;;
;;15,4;;;0,0014;10914
5748,4;5499,3;;0,5767;0,6235;;
;;15,4;;;0,0014;10775
5763,8;5515;;0,5782;0,625;;
;;15,4;;;0,0015;10594
5779,2;5530,7;;0,5797;0,6264;;
;;15,4;;;0,0015;10442
5794,6;5546,4;;0,5812;0,6279;;
;;15,4;;;0,0015;10413
5810;5562,1;;0,5827;0,6294;;
;;15,4;;;0,0015;10525
5825,4;5577,8;;0,5842;0,6308;;
;;15,4;;;0,0014;10727
5840,8;5593,5;;0,5856;0,6323;;
;;15,4;;;0,0014;10953
5856,2;5609,2;;0,5871;0,6337;;
;;15,4;;;0,0014;11157
5871,6;5624,9;;0,5885;0,6351;;
;;15,4;;;0,0014;11279
5887;5640,6;;0,5899;0,6364;;
;;15,4;;;0,0014;11255
5902,4;5656,3;;0,5913;0,6378;;
;;15,4;;;0,0014;11047
5917,8;5672;;0,5927;0,6392;;
;;15,4;;;0,0014;10740
